"and_i_love_her" "girl"
"here" 0 0
"high" 0 0
"him" 0 0
"images" 0 0
"inciting" 0 0
"inside" 0 0
"into" 0 0
"inviting" 0 0
"joker" 0 0
"joy" 0 0
"kicking" 0 0
"knickers" 0 0
"known" 0 0
"krishna" 0 0
"laughs" 0 0
"laughter" 0 0
"letter" 0 0
"letters" 0 0
"light" 0 0
"limitless" 0 0
"little" 0 0
"living" 0 0
"looks" 0 0
"low" 0 0
"lucy" 0 0
"meander" 0 0
"meant" 0 0
"mind" 0 0
"mister" 0 0
"mistress" 0 0
"misunderstanding" 0 0
"much" 0 0.588235294117647
"must" 0 0.588235294117647
"nowhere" 0 0
"o" 0 0
"or" 0 0
"over" 0 0
"paper" 0 0
"party" 0 0
"pass" 0 0
"penguin" 0 0
"pilchard" 0 0
"pity" 0 0
"poe" 0 0
"policeman" 0 0
"policemen" 0 0
"pools" 0 0
"poor" 0 0
"pornographic" 0 0
"possessing" 0 0
"pretty" 0 0
"priestess" 0 0
"purse" 0 0
"rest" 0 0
"restless" 0 0
"right" 0 0
"ringing" 0 0
"row" 0 0
"save" 0 0
"saved" 0 0
"seek" 0 0
"seemed" 0 0
"seen" 0 0
"semolina" 0 0
"serviceable" 0 0
"shades" 0 0
"shadow" 0 0
"shines" 0 0
"should" 0 0
"shown" 0 0
"sing" 0 0
"singing" 0 0
"sir" 0 0
"sit" 0 0
"sky" 1.94174757281553 0
"slain" 0 0
"slave" 0 0
"slip" 0 0
"slither" 0 0
"smile" 0 0
"smokers" 0 0
"snide" 0 0
"so" 0 1.17647058823529
"someone" 0 0
"sometimes" 0 0
"sorrow" 0 0
"sounds" 0 0
"st" 0 0
"standing" 0 0
"stay" 0 0.588235294117647
"stupid" 0 0
"sty" 0 0
"sung" 0 0
"suns" 0 0
"t-shirt" 0 0
"tame" 0 0
"tan" 0 0
"texpert" 0 0
"thee" 0 0
"their" 0 0
"them" 0 0
"they^re" 0 0
"thou" 0 0
"thoughts" 0 0
"thy" 0 0
"time" 0 0.588235294117647
"too" 0.970873786407767 0
"tower" 0 0
"tree" 0 0
"troubles" 0 0
"tuesday" 0 0
"tumble" 0 0
"tune" 0 0
"undying" 0 0
"untimely" 0 0
"upon" 0 0
"used" 0 0
"van" 0 0
"vices" 0 0
"views" 0 0
"waves" 0 0
"way" 0 0
"we" 0 0
"well" 0 0
"what" 0 0
"when" 0 3.52941176470588
"where" 0 0
"while" 0 0
"wind" 0 0
"with" 0 0
"words" 0 0
"works" 0 0
"would" 0 0.588235294117647
"yellow" 0 0
"yes" 0 0
"you^re" 0 0
