"across_the_universe" "all_you_need_is_love" "i_am_the_walrus" "strawberry_fields" "yesterday"
"long" 0 0 0.21505376344086 0 1.50375939849624
"no" 0 0.276243093922652 0 1.03092783505155 0
"om" 1.52284263959391 0 0 0 0
"out" 0.50761421319797 0 0.21505376344086 0.515463917525773 0
"play" 0 0.276243093922652 0 0 1.50375939849624
"say" 0 0.276243093922652 0 0 1.50375939849624
"sitting" 0 0 0.645161290322581 0 0
"which" 1.01522842639594 0 0.21505376344086 0 0
"wrong" 0 0 0 0.515463917525773 1.50375939849624
"been" 0 0 0.43010752688172 0 0
"boy" 0 0 0.43010752688172 0 0
"come" 0 0 0.43010752688172 0 0
"dead" 0 0 0.43010752688172 0 0
"do" 0 0.552486187845304 0 0 0
"english" 0 0 0.43010752688172 0 0
"eyes" 0.50761421319797 0 0 0.515463917525773 0
"fly" 0 0 0.43010752688172 0 0
"go" 0 0 0 0 1.50375939849624
"good" 0 0 0.43010752688172 0 0
"had" 0 0 0 0 1.50375939849624
"hide" 0 0 0 0 1.50375939849624
"if" 0 0 0.43010752688172 0 0
"learn" 0 0.552486187845304 0 0 0
"made" 0 0.276243093922652 0.21505376344086 0 0
"make" 0.50761421319797 0.276243093922652 0 0 0
"matter" 0 0 0.21505376344086 0.515463917525773 0
"mean" 0 0 0 1.03092783505155 0
"million" 1.01522842639594 0 0 0 0
"naughty" 0 0 0.43010752688172 0 0
"not" 0 0 0 0.515463917525773 0.75187969924812
"open" 1.01522842639594 0 0 0 0
"pigs" 0 0 0.43010752688172 0 0
"place" 0 0 0 0 1.50375939849624
"rain" 0.50761421319797 0 0.21505376344086 0 0
"run" 0 0 0.43010752688172 0 0
"said" 0 0 0 0 1.50375939849624
"something" 0 0 0 0 1.50375939849624
"such" 0 0 0 0 1.50375939849624
"suddenly" 0 0 0 0 1.50375939849624
"sun" 0 0 0.43010752688172 0 0
"though" 0 0 0.21505376344086 0 0.75187969924812
"through" 1.01522842639594 0 0 0 0
"together" 0 0.276243093922652 0.21505376344086 0 0
"villain" 0 0 0.43010752688172 0 0
"waiting" 0 0 0.43010752688172 0 0
"was" 0 0 0 0 1.50375939849624
"why" 0 0 0 0 1.50375939849624
"wouldn^t" 0 0 0 0 1.50375939849624
"you^ve" 0 0 0.43010752688172 0 0
"allen" 0 0 0.21505376344086 0 0
"always" 0 0 0 0.515463917525773 0
"around" 0.50761421319797 0 0 0 0
"at" 0 0 0.21505376344086 0 0
"bad" 0 0 0 0.515463917525773 0
"badness" 0 0 0.21505376344086 0 0
"before" 0.50761421319797 0 0 0 0
"blindly" 0.50761421319797 0 0 0 0
"bloody" 0 0 0.21505376344086 0 0
"blows" 0 0 0.21505376344086 0 0
"body" 0 0 0.21505376344086 0 0
"box" 0.50761421319797 0 0 0 0
"british" 0 0 0.21505376344086 0 0
"broken" 0.50761421319797 0 0 0 0
"bury" 0 0 0.21505376344086 0 0
"call" 0.50761421319797 0 0 0 0
"calls" 0.50761421319797 0 0 0 0
"came" 0 0 0 0 0.75187969924812
"caressing" 0.50761421319797 0 0 0 0
"choking" 0 0 0.21505376344086 0 0
"city" 0 0 0.21505376344086 0 0
"climbing" 0 0 0.21505376344086 0 0
"closed" 0 0 0 0.515463917525773 0
"corn" 0 0 0.21505376344086 0 0
"corporation" 0 0 0.21505376344086 0 0
"crabalocker" 0 0 0.21505376344086 0 0
"cup" 0.50761421319797 0 0 0 0
"custard" 0 0 0.21505376344086 0 0
"dance" 0.50761421319797 0 0 0 0
"death" 0 0 0.21505376344086 0 0
"desire" 0 0 0.21505376344086 0 0
"disagree" 0 0 0 0.515463917525773 0
"doesn^t" 0 0 0 0.515463917525773 0
"dog^s" 0 0 0.21505376344086 0 0
"done" 0 0.276243093922652 0 0 0
"dream" 0 0 0 0.515463917525773 0
"drifting" 0.50761421319797 0 0 0 0
"dripping" 0 0 0.21505376344086 0 0
"duteous" 0 0 0.21505376344086 0 0
"earl" 0 0 0.21505376344086 0 0
"earth" 0.50761421319797 0 0 0 0
"edgar" 0 0 0.21505376344086 0 0
"edmund" 0 0 0.21505376344086 0 0
"eiffel" 0 0 0.21505376344086 0 0
"elementary" 0 0 0.21505376344086 0 0
"endless" 0.50761421319797 0 0 0 0
"ever" 0 0 0.21505376344086 0 0
"everybody" 0 0.276243093922652 0 0 0
"expert" 0 0 0.21505376344086 0 0
"eye" 0 0 0.21505376344086 0 0
"face" 0 0 0.21505376344086 0 0
"far" 0 0 0 0 0.75187969924812
"father" 0 0 0.21505376344086 0 0
"find" 0 0 0.21505376344086 0 0
"fishwife" 0 0 0.21505376344086 0 0
"flake" 0 0 0.21505376344086 0 0
"flowing" 0.50761421319797 0 0 0 0
"fortune^s" 0 0 0.21505376344086 0 0
"garden" 0 0 0.21505376344086 0 0
"getting" 0 0 0 0.515463917525773 0
"girl" 0 0 0.21505376344086 0 0
"gloucester" 0 0 0.21505376344086 0 0
"grow" 0 0 0.21505376344086 0 0
"gun" 0 0 0.21505376344086 0 0
"half" 0 0 0 0 0.75187969924812
"hanging" 0 0 0 0 0.75187969924812
"hard" 0 0 0 0.515463917525773 0
"hare" 0 0 0.21505376344086 0 0
"hast" 0 0 0.21505376344086 0 0
"have" 0 0 0.21505376344086 0 0
"here" 0 0 0 0 0.75187969924812
"high" 0 0 0 0.515463917525773 0
"him" 0 0 0.21505376344086 0 0
"images" 0.50761421319797 0 0 0 0
"inciting" 0.50761421319797 0 0 0 0
"inside" 0.50761421319797 0 0 0 0
"into" 0.50761421319797 0 0 0 0
"inviting" 0.50761421319797 0 0 0 0
"joker" 0 0 0.21505376344086 0 0
"joy" 0.50761421319797 0 0 0 0
"kicking" 0 0 0.21505376344086 0 0
"knickers" 0 0 0.21505376344086 0 0
"known" 0 0.276243093922652 0 0 0
"krishna" 0 0 0.21505376344086 0 0
"laughs" 0 0 0.21505376344086 0 0
"laughter" 0.50761421319797 0 0 0 0
"letter" 0.50761421319797 0 0 0 0
"letters" 0 0 0.21505376344086 0 0
"light" 0.50761421319797 0 0 0 0
"limitless" 0.50761421319797 0 0 0 0
"little" 0 0 0.21505376344086 0 0
"living" 0 0 0 0.515463917525773 0
"looks" 0 0 0 0 0.75187969924812
"low" 0 0 0 0.515463917525773 0
"lucy" 0 0 0.21505376344086 0 0
"meander" 0.50761421319797 0 0 0 0
"meant" 0 0.276243093922652 0 0 0
"mind" 0.50761421319797 0 0 0 0
"mister" 0 0 0.21505376344086 0 0
"mistress" 0 0 0.21505376344086 0 0
"misunderstanding" 0 0 0 0.515463917525773 0
"much" 0 0 0 0.515463917525773 0
"must" 0 0 0 0.515463917525773 0
"nowhere" 0 0.276243093922652 0 0 0
"o" 0 0 0.21505376344086 0 0
"or" 0 0 0 0.515463917525773 0
"over" 0 0 0 0 0.75187969924812
"paper" 0.50761421319797 0 0 0 0
"party" 0 0 0.21505376344086 0 0
"pass" 0.50761421319797 0 0 0 0
"penguin" 0 0 0.21505376344086 0 0
"pilchard" 0 0 0.21505376344086 0 0
"pity" 0 0 0.21505376344086 0 0
"poe" 0 0 0.21505376344086 0 0
"policeman" 0 0 0.21505376344086 0 0
"policemen" 0 0 0.21505376344086 0 0
"pools" 0.50761421319797 0 0 0 0
"poor" 0 0 0.21505376344086 0 0
"pornographic" 0 0 0.21505376344086 0 0
"possessing" 0.50761421319797 0 0 0 0
"pretty" 0 0 0.21505376344086 0 0
"priestess" 0 0 0.21505376344086 0 0
"purse" 0 0 0.21505376344086 0 0
"rest" 0 0 0.21505376344086 0 0
"restless" 0.50761421319797 0 0 0 0
"right" 0 0 0 0.515463917525773 0
"ringing" 0.50761421319797 0 0 0 0
"row" 0 0 0.21505376344086 0 0
"save" 0 0.276243093922652 0 0 0
"saved" 0 0.276243093922652 0 0 0
"seek" 0 0 0.21505376344086 0 0
"seemed" 0 0 0 0 0.75187969924812
"seen" 0 0 0.21505376344086 0 0
"semolina" 0 0 0.21505376344086 0 0
"serviceable" 0 0 0.21505376344086 0 0
"shades" 0.50761421319797 0 0 0 0
"shadow" 0 0 0 0 0.75187969924812
"shines" 0.50761421319797 0 0 0 0
"should" 0 0 0.21505376344086 0 0
"shown" 0 0.276243093922652 0 0 0
"sing" 0 0.276243093922652 0 0 0
"singing" 0 0 0.21505376344086 0 0
"sir" 0 0 0.21505376344086 0 0
"sit" 0 0 0.21505376344086 0 0
"sky" 0 0 0.21505376344086 0 0
"slain" 0 0 0.21505376344086 0 0
"slave" 0 0 0.21505376344086 0 0
"slip" 0.50761421319797 0 0 0 0
"slither" 0.50761421319797 0 0 0 0
"smile" 0 0 0.21505376344086 0 0
"smokers" 0 0 0.21505376344086 0 0
"snide" 0 0 0.21505376344086 0 0
"so" 0 0 0 0 0.75187969924812
"someone" 0 0 0 0.515463917525773 0
"sometimes" 0 0 0 0.515463917525773 0
"sorrow" 0.50761421319797 0 0 0 0
"sounds" 0.50761421319797 0 0 0 0
"st" 0 0 0.21505376344086 0 0
"standing" 0 0 0.21505376344086 0 0
"stay" 0 0 0 0 0.75187969924812
"stupid" 0 0 0.21505376344086 0 0
"sty" 0 0 0.21505376344086 0 0
"sung" 0 0.276243093922652 0 0 0
"suns" 0.50761421319797 0 0 0 0
"t-shirt" 0 0 0.21505376344086 0 0
"tame" 0 0 0.21505376344086 0 0
"tan" 0 0 0.21505376344086 0 0
"texpert" 0 0 0.21505376344086 0 0
"thee" 0 0 0.21505376344086 0 0
"their" 0.50761421319797 0 0 0 0
"them" 0 0 0.21505376344086 0 0
"they^re" 0 0 0 0 0.75187969924812
"thou" 0 0 0.21505376344086 0 0
"thoughts" 0.50761421319797 0 0 0 0
"thy" 0 0 0.21505376344086 0 0
"time" 0 0.276243093922652 0 0 0
"too" 0 0 0 0.515463917525773 0
"tower" 0 0 0.21505376344086 0 0
"tree" 0 0 0 0.515463917525773 0
"troubles" 0 0 0 0 0.75187969924812
"tuesday" 0 0 0.21505376344086 0 0
"tumble" 0.50761421319797 0 0 0 0
"tune" 0 0 0 0.515463917525773 0
"undying" 0.50761421319797 0 0 0 0
"untimely" 0 0 0.21505376344086 0 0
"upon" 0 0 0.21505376344086 0 0
"used" 0 0 0 0 0.75187969924812
"van" 0 0 0.21505376344086 0 0
"vices" 0 0 0.21505376344086 0 0
"views" 0.50761421319797 0 0 0 0
"waves" 0.50761421319797 0 0 0 0
"way" 0.50761421319797 0 0 0 0
"we" 0 0 0.21505376344086 0 0
"well" 0 0 0.21505376344086 0 0
"what" 0 0 0.21505376344086 0 0
"when" 0 0 0 0.515463917525773 0
"where" 0 0.276243093922652 0 0 0
"while" 0.50761421319797 0 0 0 0
"wind" 0.50761421319797 0 0 0 0
"with" 0 0 0 0.515463917525773 0
"words" 0.50761421319797 0 0 0 0
"works" 0 0 0 0.515463917525773 0
"would" 0 0 0.21505376344086 0 0
"yellow" 0 0 0.21505376344086 0 0
"yes" 0 0 0 0.515463917525773 0
"you^re" 0 0.276243093922652 0 0 0
